Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15590127,PatrickAIForFun,"2026-09-14 12:08:30",0.28263,37,patrickaiforfun
2,16220144,LuPW,"2026-08-05 04:48:49",0.29358,252,patrykwolny
3,15937934,suguuuuu,"2026-08-04 13:10:16",0.31898,329,sugupoko
4,16675357,"Vaibhav Patel","2026-09-08 13:51:54",0.33358,55,vaibhavpatel
5,16429640,"Homin Park","2026-09-15 00:04:19",0.34075,338,powersimmani
6,16779061,HMT,"2026-09-09 11:59:15",0.34218,38,foryolotrain1
7,16678994,william,"2026-08-10 14:26:11",0.35134,17,hiricodev
8,16693535,"Dread Development","2026-09-15 13:34:23",0.35876,158,"dreaddevelopment,seanornberg"
9,16621100,"Menelik Zafir","2026-09-15 13:49:32",0.36344,112,monibeefudgekins
10,16833614,"Luis Angel Sánchez Marín","2026-09-14 11:39:28",0.36681,40,luisangelsnchezmarn
11,15529716,test_umud,"2026-09-04 00:15:09",0.37349,414,michaelsemenoff
12,16778277,easonyanyan,"2026-09-15 17:25:39",0.37995,97,easonyanyan
13,16777368,chocolat,"2026-09-04 05:50:21",0.38361,15,chocolatnya999
14,15703601,AT0641,"2026-07-03 14:18:50",0.38366,170,"at0641,spiritlilly"
15,16833124,LKonrad,"2026-09-13 14:40:42",0.39711,21,lkonrad
16,16113481,"Misha Shikhov","2026-09-15 09:17:30",0.39798,45,mishashikhov
17,16602345,SCLim2022080004,"2026-09-07 00:46:16",0.39853,50,sclim2022080004
18,16794247,Thalles.Mota,"2026-09-09 12:44:19",0.40067,47,thallesmota
19,16823125,"tudonovo tudono","2026-09-09 14:05:17",0.40227,17,tudonovotudono
20,16848619,"BioMS Tec","2026-09-08 15:17:44",0.40364,3,biomstec
21,16756301,"Andrey Chankin","2026-09-09 00:21:17",0.41201,52,bluepill
22,16808702,"Mingrui Li","2026-09-03 12:40:08",0.42146,1,mingruili1
23,16868809,"Emre Atilgan","2026-09-15 00:02:35",0.42168,30,emreatilgan
24,16793273,"Benadict Infant A","2026-09-15 11:50:18",0.42493,33,benadictinfanta
25,16862826,"Electric Weasle","2026-09-15 13:17:27",0.42958,9,electricweasle
26,15800812,Yufo,"2026-07-16 20:13:51",0.43061,195,yufotest
27,15997300,"Santiago Maniches","2026-09-14 15:27:17",0.43556,54,santmani
28,15533619,CuteClaw,"2026-09-02 18:23:13",0.43978,50,bloodmoonwq
29,15529820,"Surya milenial","2026-09-01 00:28:43",0.44320,54,suryamilenial
30,15549242,"Sardor Razikov","2026-09-04 06:38:28",0.44508,35,sardorrazikov
31,16780252,"Miguel Malt","2026-08-28 14:09:33",0.44561,9,miguelmalt
32,16844089,MinhTran2346,"2026-09-08 16:46:35",0.44654,10,minhtran2346
33,16095764,"João Victor","2026-09-14 00:54:57",0.44667,390,jvlegend
34,16773242,Yaojinming,"2026-08-27 03:05:56",0.44762,10,yjm0905
35,15992702,StephenNedumpally,"2026-09-04 17:08:04",0.44851,16,stephennedumpally
36,16751926,"Sasha Sam","2026-09-10 01:51:24",0.44866,5,sashasam
37,16892570,"Jinx JK","2026-09-14 17:54:24",0.44866,1,jinxjk
38,16805346,Rister,"2026-09-02 07:02:48",0.45120,8,rister101
39,16702818,"Yin Li","2026-08-30 02:55:42",0.45127,20,kevin250304
40,16734795,rperez04,"2026-08-22 14:55:31",0.45134,2,rperez04
41,16616850,"Akhilesh godugu","2026-08-24 17:38:45",0.45134,10,akhileshgodugu
42,15528485,"Ashish Mishra","2026-08-25 13:55:54",0.45134,11,ashsihkumar
43,16633166,"[Deleted] ed6cb32a-2439-4f5b-8e02-8a16b57c958c","2026-09-05 09:26:02",0.45134,3,holeneckles
44,15561044,"Kumar Abhijeet","2026-08-29 22:10:23",0.45134,4,krabhijeet
45,16811008,mkai1981,"2026-09-03 01:50:56",0.45134,5,mkai1981
46,16811290,"Mikey Marszewski","2026-09-11 02:31:30",0.45134,5,mikeymarszewski
47,16817825,"Andika98 Andika","2026-09-03 09:46:54",0.45134,1,andika98andika
48,16818121,"Yash Gurjar","2026-09-03 11:54:10",0.45134,5,yashgurjar09
49,15531562,"jorge fabian avila","2026-09-06 18:17:55",0.45134,2,jorgefabianavila
50,16853588,"Gonzalo Prieto","2026-09-15 12:04:05",0.45134,26,gonzaloprieto
51,16853014,"Richard Pagan","2026-09-08 12:38:34",0.45134,1,richardpagan
52,16859604,Khanochir,"2026-09-09 09:42:46",0.45134,1,konziiiakacastilla
53,16870909,"Bina Salama","2026-09-12 03:37:47",0.45134,7,binasalama
54,16811238,"Hanh Tran","2026-09-13 10:59:38",0.45134,13,honghanhhh
55,16885916,"Mathieu W","2026-09-13 11:07:06",0.45134,1,mathieuw
56,16887517,Saivardhan98,"2026-09-14 14:27:26",0.45134,6,saivardhan98
57,16886445,"Ghazaros Barseghyan","2026-09-14 00:03:31",0.45134,2,ghazarosbarseghyan91
58,16844037,"Ali hussien jawad","2026-09-15 02:42:04",0.45134,32,"alihussienjawad,basamahazem,khalidnidawi"
59,16381317,"Shishio Makoto","2026-07-02 02:41:52",0.45615,8,shishiomakoto
60,16780026,"TingXuan Huang","2026-09-02 12:47:52",0.45909,17,huangtingxuan1
61,16271543,"[Deleted] f67f4b37-9cd2-46ca-94fd-0a268f6d13b6","2026-06-16 20:31:31",0.46041,35,del=3b30e31e36257b89
62,16839036,harmo-miu,"2026-09-15 03:31:41",0.46119,47,harmomiu
63,16881263,"Miva Magic","2026-09-14 07:41:12",0.48097,7,mivamagic
64,16613785,Paranoia,"2026-08-01 09:06:02",0.48485,12,"beizhi2333,redamancy0,yiyiyisong"
65,16855978,"Lâm Huy","2026-09-12 14:55:45",0.48618,16,lamhuy8904
66,16781448,Bruhabcdfg,"2026-09-15 10:48:55",0.49212,17,bruhabcdfg
67,16882608,"Clare Laurent","2026-09-12 19:36:20",0.49332,1,clarelaurent
68,15942417,pcrpf123,"2026-09-15 13:55:31",0.49451,6,pcrpf123
69,16823867,"Santanu Banerjee","2026-09-15 16:25:55",0.49862,5,santanubanerjee9
70,16041984,"Yusaku Muroya","2026-08-23 04:55:04",0.51543,91,ymuroya47
71,16498320,"Zhiyuan Ding","2026-08-03 06:13:04",0.53850,105,zhiyuanding1
72,16867187,"Pj Sh","2026-09-14 10:08:00",0.54275,4,amirtanha
73,16594038,"Changye Li","2026-07-26 02:07:34",0.54317,13,antoinegg1
74,16638417,"Rahul Ray","2026-08-06 08:12:39",0.54399,23,rahulray5
75,16616363,CornUnicorn,"2026-07-30 03:02:12",0.54630,2,cornunicorn
76,16853961,Jangho,"2026-09-15 09:01:14",0.54819,14,jangho
77,15945902,yingfali,"2026-08-27 11:25:37",0.55218,267,yingfali
78,16768845,"Y. Kim","2026-09-11 13:55:40",0.56171,14,ywkim22
79,16797606,thwaitsusa2,"2026-09-13 13:41:26",0.56382,49,thwaitsusa2
80,16843075,"DONG YIXUAN239","2026-09-13 10:28:16",0.56674,13,dongyixuan239
81,16839538,"Dylan Moraes","2026-09-11 14:02:56",0.57097,18,dylanmoraes
82,16692911,Zajacz,"2026-08-12 14:48:56",0.57116,20,zajacz
83,16763417,"hang zhao666","2026-08-31 09:15:14",0.58569,7,hangzhao666
84,16488580,yuki,"2026-09-06 08:57:40",0.59429,125,yururoi
85,15526447,"Jason Karpeles","2026-04-27 22:02:42",0.59724,41,jasonkarpeles
86,16689773,"kitory Yeah やきとり","2026-08-15 10:55:52",0.61053,22,kitoryyeah
87,16690925,NicolasCayuela,"2026-08-16 08:06:00",0.61136,26,nicolascayuela9
88,16882895,Ajouden,"2026-09-15 13:21:54",0.61552,10,aseridi
89,16560265,PavelLiashkov,"2026-07-19 04:19:41",0.62168,15,bigbag1983
90,16710348,"Anh-Vu Mai-Nguyen","2026-09-15 06:09:13",0.62698,106,mainguyenanhvu
91,16625812,Dennis,"2026-08-06 08:38:05",0.65443,18,dennisfong
92,16603825,"Tys TANA","2026-07-30 01:01:55",0.65587,2,tystana
93,16250053,tuko_tanzwoo,"2026-06-18 17:02:51",0.66179,26,tukotanzwoo
94,16618539,Hutao715,"2026-08-25 15:34:39",0.66786,55,apostle715
95,16865485,weekkkk,"2026-09-15 07:05:26",0.67466,8,weekkkk
0,15524824,DLTrack_0.3.1_benchmark_solution.csv,"2026-03-31 13:28:39",0.67944,1,
96,16677999,UltraBoston,"2026-08-10 00:58:13",0.68186,19,"isthereanycode,lynnkim0"
97,15530540,"Emre Cirak","2026-05-11 14:08:54",0.69664,29,biohack44
98,16745881,"syouya tobita","2026-09-15 15:53:20",0.70569,11,syouyatobita
99,16505101,"Baxter Barlow","2026-07-12 00:44:26",0.71006,17,baxterbarlow
100,16340846,takitakii,"2026-06-18 17:05:08",0.71868,4,takitakii
101,16831154,"Степан Емельянов","2026-09-06 12:52:02",0.72581,13,gusika
102,16718727,"PARK HYUNSIK","2026-08-14 06:49:36",0.73026,9,hyunsikpark
103,16141259,"Pardheev Krishna","2026-06-08 06:29:40",0.73101,29,pardheev
104,16550639,Bull,"2026-08-01 01:37:12",0.73792,6,welshonionman
105,16867862,frogsilverberryleoi,"2026-09-11 01:47:59",0.74086,1,frogsilverberryleoi
106,16792018,"Satrio Hanif Wicaksono","2026-09-02 23:18:06",0.74414,10,satriohanifwicaksono
107,15597573,UIT_PQC,"2026-04-21 15:28:26",0.74711,23,phamquoccuong
108,15604289,"Cường Phạm Quốc","2026-05-28 02:21:07",0.74765,35,pzcuong
109,16795960,DöniMesor,"2026-09-01 18:14:02",0.76122,2,dnimesor
110,16717339,e12404710,"2026-08-14 15:39:21",0.76693,3,e12404710
111,16609928,Fususu,"2026-08-05 08:16:08",0.76704,21,phuongncn
112,15531372,"ömer kiraz","2026-08-05 09:09:08",0.76704,2,merkiraz
113,15528333,"Jeki Wan Taufik","2026-08-07 07:10:20",0.76704,9,jek1wantaufik
114,15563418,JinchengZhang1,"2026-08-09 03:00:40",0.76704,21,jinchengzhang1
115,16740193,"Joanna C.","2026-08-19 15:35:52",0.76704,2,joannaciesielski
116,16641302,"Harmain Mughal","2026-08-08 10:04:33",0.76767,11,harmainmughal11
117,16785915,"Erik Tavares","2026-08-30 01:34:54",0.76813,3,eriktavares
118,16743190,"Xiaolei Lian","2026-09-02 13:37:05",0.77582,13,xiaoleilian
119,15582668,Mohit,"2026-08-05 00:00:05",0.77645,416,mohit98765
120,16853326,"Tasuku Kera","2026-09-13 04:40:40",0.78284,6,kellerman
121,16894278,"Earl Ramsey","2026-09-15 13:03:35",0.79665,5,earlramsey
122,15601614,"Riccardo Santi rs","2026-07-18 09:51:08",0.79744,6,riccardosantirs
123,16725526,"Felix Ericsson","2026-08-28 18:19:11",0.80259,10,felixtedericsson
124,16782096,jdarangog,"2026-09-01 14:11:27",0.81802,22,josdanielara
125,15549865,"Hanif Noer Rofiq","2026-05-19 18:23:26",0.82307,108,hanifnoerrofiq
126,16314623,"shinya kaneda","2026-06-16 13:04:06",0.83067,21,snykaneda
127,16825594,"we are batman","2026-09-09 07:23:01",0.85193,21,aagneye
128,16718507,"KLAUS  SAMSON ","2026-08-18 19:15:49",0.86791,2,klaussamson
129,16430227,"Malitha Gunawardhana","2026-07-18 08:16:02",0.87135,44,malithagunawardhana
130,16440958,Master_1996,"2026-07-13 07:59:45",0.87253,18,masterrox1996
131,16225257,"Uche Ozoemena","2026-06-28 14:08:53",0.89723,49,ucheozoemena
132,15658141,"Roy Nikolaus","2026-05-21 03:11:27",0.90659,7,quccngphm
133,16882395,"Gaddam ShivaTeja","2026-09-14 06:50:37",0.92533,1,shivateja005
134,16722435,"Alexandru Țigău","2026-08-23 20:37:55",0.92910,3,alextigau
135,15734099,Yeyang,"2026-04-26 13:12:45",0.93419,9,yyleaves
136,16272628,"Raul Sîmpetru","2026-06-09 10:00:19",0.95352,4,raulsmpetru
137,15971033,Suguru02,"2026-05-20 13:26:29",0.95801,19,suguru02
138,16814767,wytyKen,"2026-09-07 06:50:10",0.96902,10,wytyken
139,15534866,Fernandosr85,"2026-07-23 00:38:16",0.97691,31,fernandosr85
140,16650897,Pones_kaggle,"2026-08-06 14:59:32",0.98330,13,pyd966
141,16436569,Blue,"2026-06-28 09:25:55",0.98768,6,cheney12
142,16681592,mucahitrtn,"2026-08-17 13:00:58",1.00490,11,mucahitrtn
143,15902920,"Master Teo","2026-05-10 22:34:34",1.00515,15,sirteo
144,15976351,"Gaurav Upreti","2026-09-15 17:53:59",1.01535,28,reaper0ai
145,16247735,ABC,"2026-06-07 10:04:32",1.01799,6,fuki01
146,16880984,"Manurupan M","2026-09-12 18:17:09",1.03662,1,manurupanm
147,16429073,az.shaoon,"2026-06-26 06:22:16",1.03740,4,shaoon
148,16759013,HumbleHumbert,"2026-08-22 14:54:31",1.03740,2,humblehumbert
149,16734646,suminshim,"2026-08-22 19:10:33",1.04759,16,suminshim
150,15539990,"Creatine supplement🏋️🏋🏿‍♀️","2026-04-16 11:25:07",1.04830,12,theonetheonly
151,16841974,"Aadit Agrawal","2026-09-06 04:14:07",1.05081,2,aaditagrawal
152,15566633,"Jonas M.","2026-04-27 07:23:25",1.05529,24,masjon
153,16763135,sowhatwillwelearn,"2026-09-01 14:18:13",1.06001,2,sowhatwillwelearn
154,16881677,"xx lin","2026-09-12 20:44:08",1.08503,5,lincan123
155,16842241,"Luis Garza Gonzalez","2026-09-14 00:05:58",1.09114,11,luisgarzagonzalez
156,16841704,oishe,"2026-09-06 03:00:40",1.09232,5,oishe1
157,15526770,"Andrew Lee","2026-04-05 17:08:25",1.09451,4,andrewlee23023
158,16665385,"arnab sahu","2026-08-05 08:44:30",1.10159,2,makichutt
159,16690973,"Shriyansh Patnaik","2026-08-09 07:56:14",1.10788,5,shriyanshpatnaik
160,15704883,moeuuu,"2026-05-21 10:05:36",1.11684,7,moeuuu
161,16809435,aashka,"2026-09-09 13:22:43",1.12556,7,aashka
162,16839512,sakshigoel15,"2026-09-15 13:35:02",1.12981,1,sakshigoel15
163,16652439,"Talha Celik","2026-08-05 13:45:17",1.13131,11,realtalhacelik
164,16093674,Vandit,"2026-06-12 20:15:33",1.15113,3,vandittyagi0909
165,16740108,"Norman Neira","2026-09-04 16:26:41",1.15714,2,normanneira
166,16693121,"Sai Teja Bandaru","2026-08-09 23:00:29",1.16096,1,saitejabandaruin
167,16711454,"FasterYouChase FasterIRun","2026-08-12 08:35:21",1.16169,1,icoguser
168,16189435,"Advait Sajith","2026-08-23 16:47:17",1.17484,19,advaitsajith1
169,15982772,"Abinayan Anantharuban","2026-06-14 13:42:13",1.17692,24,abinayananantharuban
170,15591277,"Randy Harvey","2026-04-10 23:12:33",1.18081,3,pzcuong241002
171,15837665,bsenst,"2026-08-06 15:32:49",1.19404,5,bnzn261029
172,16268169,"yunfeng z","2026-06-15 06:30:16",1.20205,5,yunfengz
173,16750498,"Samer Attrah","2026-09-14 22:02:06",1.20982,33,samerattrah
174,16280383,Abdulsamad,"2026-06-17 07:56:58",1.21745,13,abdulsamadjod1234
175,15544365,AmbrosM,"2026-04-10 18:56:20",1.22094,3,ambrosm
176,15583202,"Srishanth Sriramula","2026-04-14 17:25:21",1.25016,5,srishanthsriramula
177,16685375,xuyixiao,"2026-08-08 05:25:25",1.25448,4,ninetyto
178,16493989,"Kendall and Styves","2026-07-08 19:25:44",1.26563,8,"kendallfrederick,styvesbarrosmiranda"
179,16868024,"Aso Baneen","2026-09-10 17:28:08",1.26742,3,asobaneen
180,16561828,kmn,"2026-07-24 14:25:59",1.28840,11,kmatsu01
181,16556258,"Ngọc Hưng Nguyễn","2026-07-18 08:02:15",1.29115,7,nnhzzz
182,16277577,"Nitin Dagar","2026-06-12 00:02:17",1.32505,16,nitindagarjat
183,16880286,sujeeravi,"2026-09-12 10:14:51",1.32704,1,sujeeravi
184,15535208,"Alex Li","2026-04-02 03:12:04",1.33518,2,alexli1998
185,15585904,BhargavaAbhi,"2026-05-18 18:30:52",1.33851,2,bhargavaabhi
186,15530828,"Lakhindar Pal","2026-04-26 02:40:58",1.33851,4,lakhindarpal
187,15553065,"Adi Kusuma","2026-06-12 02:41:01",1.33851,1,adikusum4
188,16450831,"The Coder Geek Squad Leader","2026-07-04 20:55:51",1.33851,1,soulemaneisissifou
189,16611125,myab07,"2026-07-30 10:36:08",1.33851,1,myab07
190,16823711,"Dimitri ZABRE","2026-09-03 22:21:48",1.33851,1,dimitrizabre
191,16859414,"Bejjala Mani Sai Teja","2026-09-09 10:09:40",1.34739,2,bejjalamanisaiteja
192,16622332,"[Deleted] 106810ea-ca02-4a2e-bdfb-506612b84e3d","2026-08-21 08:39:09",1.39171,11,del=de811581d5042b7f
193,16231514,"Shiv Satyam","2026-06-04 21:56:46",1.43312,1,shivsatyam
194,15585091,Tony,"2026-05-14 12:14:54",1.43474,5,tonyiir
195,16619870,"Gnach Deraj","2026-08-14 15:38:22",1.44348,7,gnachderaj
196,15567401,"Marco DG","2026-04-12 07:10:03",1.45962,7,marcodg
197,15613456,Karearea,"2026-04-27 09:42:01",1.47894,1,mattt394
198,16387943,Accer_sz,"2026-06-19 08:11:38",1.48427,8,accersz
199,16778880,"Kishore Baskar","2026-08-27 08:48:36",1.50434,1,"devaeshd,kasirams,kishorebaskar"
200,15526164,"Leon Górecki","2026-04-01 08:21:40",1.51156,5,leo01000111
201,16802181,arman1o1,"2026-09-01 10:04:54",1.56038,1,arman1o1
202,16263985,Atsu40725,"2026-06-08 09:23:49",1.59625,1,atsu40725
203,16828478,"mech iyad","2026-09-15 11:00:40",1.59940,19,mechiyad
204,16428594,"Danielle Lesin","2026-06-24 18:43:34",1.60024,5,ladyfaye
205,15586987,093_이민재,"2026-04-10 01:47:57",1.60559,1,dannyahn1
206,16080672,"Quang Minh Lê 227","2026-05-27 08:45:41",1.60764,1,quangminhl227
207,16211038,"ARJUN A S","2026-06-17 10:14:27",1.62129,12,kuranashi
208,15539470,"Niaz Mahmud","2026-04-07 11:45:56",1.67783,1,niazmahmud0201
209,16811753,Ariana112,"2026-09-04 01:38:46",1.67856,4,ariana112
210,16532226,"Kalyana Dinesh","2026-07-28 20:23:07",1.68306,2,kalyanadinesh
211,15604705,"Yu_Krxfo _","2026-04-14 02:23:11",1.69410,5,yukrxfo
212,16785944,Amr_Said1233,"2026-08-29 16:32:16",1.82273,5,amrsaid1233
213,16785384,"Jerónimo Paiva","2026-08-31 04:29:54",1.82893,1,jernimopaiva
214,16853273,OsakanaTeishoku,"2026-09-13 06:09:48",1.84470,1,osakanateishoku
215,16868116,"André Luiz Pedroso","2026-09-10 18:45:12",1.87066,1,andreluizpedroso
216,15555339,hideaki_mizoue,"2026-04-04 17:03:41",1.87113,5,hideakimizoue
217,15572702,"Abhishek Prithvi Teja","2026-04-07 17:38:33",1.87113,1,prithvi1029
218,15587286,"Kyaw Htin Aung","2026-08-28 08:18:13",1.87113,15,kyawhtinaung
219,16061190,"Trí Huy, Ngô","2026-05-26 12:37:43",1.87113,2,trhuyng
220,16424404,"Vlad Balanda","2026-06-23 23:49:29",1.87113,1,bankhv
221,16607346,"shreyas sangalad","2026-07-28 01:47:56",1.90096,2,spoortisangalad
222,16064215,"Mythri V","2026-06-01 13:42:37",1.90208,4,mythriv
223,16694423,"NGUYỄN VĂN QUANG TRƯỜNG","2026-08-27 08:34:39",1.96473,10,nguynvnquangtrng
224,16876398,"Abu Kayyisah Basyid","2026-09-13 09:02:58",2.26284,9,abukayyisahbasyid
225,16791291,jfmuenchau,"2026-09-02 19:56:12",2.33491,2,jfmuenchau
226,16786385,"Thanawat Nawan","2026-08-29 12:00:03",2.34362,2,thanawatnawan
227,15569738,yanis_lou,"2026-04-07 08:52:09",2.37445,5,yanislou
228,16278107,"hill le","2026-06-28 01:53:09",2.37996,15,lecongminhhieu
229,15554227,cg,"2026-04-05 11:54:31",2.41344,1,chaitanyagarg2
230,16600188,沼里太誠,"2026-07-26 06:09:35",2.41344,2,numaritaisei
231,15569506,ZAOUI_Yassine,"2026-09-04 14:38:53",2.50279,26,zaouiyassine
232,16563699,"Mohammed Imad","2026-07-19 16:56:36",2.73211,4,moee2003
233,16698021,Rids08,"2026-09-07 22:42:38",2.76523,4,rids08
234,15594655,"Sathya Narayanan 8","2026-04-27 18:03:40",2.88089,3,sathyanarayanan8
235,16751749,UniverseAwaken,"2026-09-02 15:16:25",3.06875,33,universeawaken
236,16614255,Titanic,"2026-08-21 05:41:40",3.16896,1,"jeevasidarth,mohulaprasath,pandikabileshp"
237,16640426,"Ibrat Usmonov","2026-08-02 09:19:21",3.21165,1,ibratusmonov
238,16827207,"Ashok Kumar Garain","2026-09-04 07:43:58",3.28146,1,ashokkumargarain
239,16635085,"Gianluca Mondillo","2026-08-01 08:30:31",3.32301,5,gianlucamondillo
240,16872789,"Chaitanya Jamble","2026-09-15 06:26:46",3.57987,2,chaitanyajamble
241,15673374,"Bohatyrenko Victor","2026-04-22 17:48:16",4.14174,6,bohatyrenkovictor
242,15606495,"Tejas Akade MD23B002","2026-04-17 05:58:38",4.55614,3,tejasakade395
243,16782255,"Trần Văn Tuân","2026-09-03 15:31:14",4.64038,1,tonirighthere
244,15587649,fzhhahah,"2026-04-10 05:31:41",5.12207,1,fzhhahah
245,15570285,"Julien bertas","2026-04-08 16:20:45",5.44652,10,julienbertas
246,16622317,"Atharv ","2026-08-03 21:00:18",5.54524,4,atharvgaur18
247,16885618,"Berkay Karabulut","2026-09-13 16:36:45",5.91625,2,berkaykarabulut
248,15578654,"adrian drischoff","2026-04-08 16:50:52",6.15939,5,adriandrischoff
249,15699038,Skipar,"2026-04-29 15:57:35",7.55649,2,skipar
250,16823381,"Muhammad Haaris 27083","2026-09-04 03:48:17",7.70601,5,muhammadhaaris27083
251,15529959,ParkJuHeon,"2026-04-05 20:24:24",31.19656,1,parkjuheon
